time,on/off,note,velocity,channel,param
85.0,on,69,127,1,
85.0,on,45,127,3,
85.25,off,53,0,2,
85.25,off,74,0,0,
85.25,off,45,0,3,
85.25,on,71,127,0,
85.25,on,55,127,2,
85.25,on,43,127,3,
85.5,off,71,0,0,
85.5,off,55,0,2,
85.5,off,43,0,3,
85.5,on,72,127,0,
85.5,on,53,127,2,
85.5,on,45,127,3,
85.75,off,69,0,1,
85.75,off,53,0,2,
85.75,on,67,127,1,
85.75,on,52,127,2,
86.0,off,72,0,0,
86.0,off,45,0,3,
86.0,off,67,0,1,
86.0,off,52,0,2,
86.0,on,72,127,0,
86.0,on,66,127,1,
86.0,on,50,127,2,
86.0,on,46,127,3,
86.25,off,66,0,1,
86.25,on,62,127,1,
86.5,off,72,0,0,
86.5,off,62,0,1,
86.5,on,70,127,0,
86.5,on,67,127,1,
86.75,off,46,0,3,
86.75,on,43,127,3,
87.0,off,70,0,0,
87.0,off,43,0,3,
87.0,on,69,127,0,
87.0,on,50,127,3,
87.25,off,67,0,1,
87.25,on,64,127,1,
87.5,off,50,0,2,
87.5,off,69,0,0,
87.5,off,64,0,1,
87.5,on,65,127,1,
87.5,on,57,127,2,
87.75,off,57,0,2,
87.75,on,53,127,2,
88.0,off,53,0,2,
88.0,on,58,127,2,
88.25,off,65,0,1,
88.25,on,62,127,1,
88.5,off,50,0,3,
88.5,off,62,0,1,
88.5,on,67,127,1,
88.5,on,52,127,3,
88.75,off,58,0,2,
88.75,on,55,127,2,
89.0,off,55,0,2,
89.0,on,60,127,2,
89.25,off,67,0,1,
89.25,on,64,127,1,
89.5,off,52,0,3,
89.5,off,64,0,1,
89.5,on,69,127,1,
89.5,on,53,127,3,
89.75,off,60,0,2,
89.75,on,57,127,2,
90.0,off,57,0,2,
90.0,on,62,127,2,
90.25,off,69,0,1,
90.25,on,65,127,1,
90.5,off,62,0,2,
90.5,off,65,0,1,
90.5,on,70,127,1,
90.5,on,55,127,2,
90.75,off,53,0,3,
90.75,on,50,127,3,
91.0,off,55,0,2,
91.0,off,50,0,3,
91.0,on,60,127,2,
91.0,on,52,127,3,
91.25,off,70,0,1,
91.25,on,67,127,1,
91.5,off,60,0,2,
91.5,off,67,0,1,
91.5,on,69,127,1,
91.5,on,53,127,2,
91.75,off,52,0,3,
91.75,on,49,127,3,
92.0,off,53,0,2,
92.0,off,49,0,3,
92.0,on,58,127,2,
92.0,on,50,127,3,
92.25,off,69,0,1,
92.25,on,65,127,1,
92.5,off,58,0,2,
92.5,off,65,0,1,
92.5,on,67,127,1,
92.5,on,52,127,2,
92.75,off,50,0,3,
92.75,on,47,127,3,
93.0,off,52,0,2,
93.0,off,47,0,3,
93.0,on,57,127,2,
93.0,on,49,127,3,
93.25,off,49,0,3,
93.25,on,45,127,3,
93.5,off,67,0,1,
93.5,off,45,0,3,
93.5,on,65,127,1,
93.5,on,50,127,3,
93.75,off,65,0,1,
93.75,on,62,127,1,
